STATION_ID,STATION_NAME,AVERAGE_YEARLY_PRECIPITATION,YEAR
TAC,TAHOE CITY (NWS),1.6183333333333332,2014
TRM,TERMINUS DAM,0.45916666666666667,2014
3RV,THREE RIVERS PH NO 1,0.8291666666666667,2014
TCR,TRACY CARBONA,0.43333333333333335,2014
TKE,TRUCKEE RS (OBS),1.450833333333333,2014
29P,TWENTYNINE PALMS,0.2916666666666667,2014
UKH,UKIAH,2.1683333333333334,2014
VNT,VINTON,0.8283333333333333,2014
VSL,VISALIA,0.38749999999999996,2014
WSC,WASCO,0.17833333333333334,2014
WTW,WATSONVILLE WATER,1.2885714285714287,2014
WVR,WEAVERVILLE RS,1.7108333333333332,2014
WPT,WEST POINT,1.9733333333333334,2014
WDL,WOODLAND 1 WNW,1.1616666666666666,2014
YSV,YOSEMITE HEADQUARTERS,1.4841666666666666,2014
YRK,YREKA,1.0091666666666668,2014
ALT,ALTURAS RS,0.9758333333333332,2015
APU,ANGWIN PACIFIC UNION COL,3.1180000000000008,2015
ASM,ASH MOUNTAIN,1.5657142857142856,2015
ATW,ATWELL CAMP,1.8909090909090907,2015
ABR,AUBERRY 2 NW,1.0274999999999999,2015
AUB,AUBURN,1.8699999999999994,2015
BFK,BAKERSFIELD AIRPORT,0.48454545454545445,2015
BFS,BARSTOW,0.4516666666666666,2015
BRM,BEAR TRAP MEADOW,1.842727272727273,2015
BGB,BIG BAR,2.8790909090909094,2015
BBE,BIG BEAR LAKE,1.375,2015
BGC,BIG CREEK 1,1.2408333333333335,2015
BGS,BIG SUR STATE PARK,2.8691666666666666,2015
BIS,BISHOP,0.1975,2015
BYM,BLUE CANYON (DWR-2),3.8675,2015
BLY,BLYTHE,0.31444444444444447,2015
BCA,BOCA,1.5633333333333335,2015
BDE,BODIE,0.8974999999999999,2015
BOW,BOWMAN,3.8600000000000008,2015
BDG,BRIDGEPORT R S,0.3057142857142857,2015
BCM,BRUSH CREEK (DWR-2),3.2083333333333335,2015
CCH,CACHUMA LAKE,1.3309090909090908,2015
CVT,CALAVERAS BIG TREES,2.4416666666666664,2015
CAL,CALLAHAN,1.986666666666667,2015
CPD,CAMP PARDEE,1.4141666666666666,2015
CPT,CAPLES (TWIN) LAKE,2.2225,2015
CDV,CEDARVILLE,1.2045454545454548,2015
CHL,CHALLENGE RANGER STATION,,2015
CVD,CHERRY VALLEY DAM,2.130833333333333,2015
CHS,CHESTER,2.201666666666666,2015
CES,CHICO UNIV FARM,1.4766666666666668,2015
CNL,CHINA LAKE ARMITAGE,0.5085714285714286,2015
CLN,COALINGA,0.604,2015
CFF,COFFEE CREEK RANGER STATION,4.104166666666667,2015
CLF,COLFAX,2.8009090909090912,2015
CTT,COTTONWOOD GATES,0.2333333333333333,2015
COV,COVELO 1 NNE,2.79,2015
CRC,CROOKED CREEK (LONG VALLEY),0.4883333333333333,2015
CUY,CUYAMACA DAM,1.4490909090909092,2015
DVS,DAVIS 2WSW,2.4600000000000004,2015
DSB,DE SABLA (PG&E),3.455454545454545,2015
DTV,DEATH VALLEY,0.14666666666666667,2015
DMS,DONNER MEM ST PARK,2.1463636363636365,2015
DWV,DOWNIEVILLE,3.7945454545454553,2015
DYL,DOYLE,1.129,2015
DNM,DUNSMUIR TREATMENT PLANT,4.553333333333334,2015
EGL,EAGLE CREEK,0.96,2015
EPK,EAST PARK RESERVOIR,1.22,2015
ELC,EL CAPITAN DAM,1.1350000000000002,2015
ERY,ELLERY LAKE,1.2266666666666668,2015
ELS,ELSINORE,0.7385714285714287,2015
ENG,ENGLEBRIGHT (USACE),2.0191666666666666,2015
ERK,EUREKA WOODLEY ISLAND,2.6174999999999997,2015
FRF,FAIRFIELD,1.4275,2015
FMT,FAIRMONT,0.9175,2015
NIC,FEATHER RIVER NEAR NICOLAUS,,2015
FDD,FIDDLETOWN,2.183333333333333,2015
FLR,FLORENCE LAKE (SCE),0.7825,2015
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),3.8200000000000003,2015
FRH,FORESTHILL R S,3.0524999999999998,2015
FBW,FORT BIDWELL,1.2341666666666666,2015
FJN,FORT JONES RS,1.6308333333333334,2015
FRR,FORT ROSS,,2015
FRO,FRESNO WB AIRPORT,0.5808333333333332,2015
GAS,GASQUET RANGER STATION,6.9854545454545445,2015
GLK,GEM  LAKE,0.8633333333333334,2015
GRG,GEORGETOWN RS (USFS),2.636666666666667,2015
GNF,GIANT FOREST (USACE),1.8983333333333337,2015
GLV,GLENVILLE FS,0.9290909090909092,2015
GRO,GRANT GROVE,1.9154545454545457,2015
GSV,GRASS VALLEY,2.6750000000000007,2015
GNV,GREENVILLE RS,,2015
GVL,GROVELAND R S,1.3575000000000002,2015
GHS,GROVER HOT SPRINGS,1.3258333333333332,2015
HWE,HAIWEE,0.3333333333333333,2015
HND,HANFORD REFINERY,0.45083333333333336,2015
HAP,HAPPY CAMP RS,3.4250000000000007,2015
HRR,HARRISON GULCH RS,1.19,2015
HSD,HENSHAW DAM,1.6218181818181818,2015
HTH,HETCH HETCHY,1.9033333333333333,2015
HCK,HOCKETT MEADOW (USACE),1.85,2015
HLS,HOLLISTER,1.9325,2015
HOO,HOOPA,2.9949999999999997,2015
HSS,HOSSACK,1.66125,2015
IMP,IMPERIAL VALLEY,0.1677777777777778,2015
IPN,INDEPENDENCE,0.20666666666666664,2015
ISB,ISABELLA DAM,0.84,2015
