TRACT_ID,YEAR,TOTAL_POPULATION,LAND_AREA
06037432901,2014,4941,0.438
06037432902,2014,3594,0.418
06037433101,2014,2521,0.576
06037433102,2014,4663,0.254
06037433200,2014,6400,0.686
06037433302,2014,1896,0.334
06037433304,2014,4909,0.305
06037433305,2014,5189,0.197
06037433306,2014,3402,0.168
06037433307,2014,3119,0.165
06037433401,2014,2728,0.194
06037433402,2014,4474,0.221
06037433403,2014,4441,0.273
06037433501,2014,1975,0.452
06037433503,2014,3097,0.306
06037433504,2014,4650,0.354
06037433601,2014,5087,0.433
06037433602,2014,2594,0.358
06037433700,2014,3700,1.208
06037433801,2014,6093,0.606
06037433802,2014,2927,2.269
06037433901,2014,5822,0.279
06037433902,2014,3812,0.282
06037434001,2014,4469,0.427
06037434003,2014,4480,0.378
06037434004,2014,2863,0.264
06037460000,2014,4709,2.597
06037460100,2014,6051,2.185
06037460200,2014,5685,1.238
06037460301,2014,4510,1.914
06037460302,2014,4756,0.506
06037460401,2014,1034,2.078
06037460501,2014,5682,2.908
06037460502,2014,4488,1.009
06037460600,2014,4529,1.635
06037460700,2014,5040,2.872
06037460800,2014,3064,2.586
06037460900,2014,6871,0.940
06037461000,2014,6367,0.707
06037461100,2014,5002,0.754
06037461200,2014,4679,0.950
06037461300,2014,6931,0.751
06037461400,2014,3373,0.392
06037461501,2014,4296,0.388
06037461502,2014,7408,0.453
06037461600,2014,6217,0.638
06037461700,2014,1469,0.844
06037461901,2014,4883,0.338
06037461902,2014,1530,0.322
06037462001,2014,3998,0.197
06037462002,2014,4101,0.198
06037462100,2014,5239,0.403
06037462201,2014,3634,0.208
06037462202,2014,3210,0.219
06037462301,2014,4824,0.245
06037462302,2014,2606,0.270
06037462400,2014,4355,0.503
06037462500,2014,6089,0.935
06037462600,2014,2402,0.405
06037462700,2014,5395,0.647
06037462800,2014,2646,0.435
06037462900,2014,3769,0.914
06037463000,2014,2179,0.694
06037463101,2014,2520,0.438
06037463102,2014,3603,0.975
06037463200,2014,3280,0.628
06037463300,2014,2143,0.255
06037463400,2014,5459,0.745
06037463500,2014,5983,0.649
06037463601,2014,5948,0.358
06037463602,2014,5246,0.359
06037463700,2014,2468,0.666
06037463800,2014,3884,1.094
06037463900,2014,3415,0.725
06037464000,2014,5797,1.214
06037464100,2014,7329,2.420
06037464200,2014,5965,1.348
06037480002,2014,3534,0.523
06037480011,2014,5394,0.422
06037480012,2014,5035,0.495
06037480101,2014,4351,0.438
06037480102,2014,4639,0.475
06037480201,2014,4099,0.591
06037480202,2014,2732,0.586
06037480302,2014,4261,0.405
06037480303,2014,4114,0.175
06037480304,2014,4009,0.169
06037480400,2014,5249,0.496
06037480500,2014,5428,0.818
06037480600,2014,7781,0.899
06037480702,2014,4683,0.839
06037480703,2014,3312,0.439
06037480704,2014,4710,0.416
06037480802,2014,3228,0.662
06037480803,2014,3908,0.421
06037480804,2014,5357,0.320
06037480901,2014,4553,0.368
06037480902,2014,4126,0.201
06037480903,2014,3001,0.310
