optimizer,validation_split,lstm_units,learning_rate,batch_size,epochs,rmse
Adagrad,0.05,180.0,0.01,96.0,290.0,121.19245910644533
Adagrad,0.05,170.0,0.001,96.0,290.0,142.60479736328125
Adagrad,0.05,170.0,0.01,96.0,290.0,118.77188873291016
Adagrad,0.05,160.0,0.0001,96.0,290.0,151.42591857910156
Adagrad,0.05,160.0,0.001,96.0,290.0,143.523193359375
Adagrad,0.05,160.0,0.01,96.0,290.0,118.52096557617188
Adagrad,0.05,150.0,0.0001,96.0,290.0,150.53518676757812
Adagrad,0.05,150.0,0.001,96.0,290.0,143.08189392089844
Adagrad,0.05,150.0,0.01,96.0,290.0,117.31950378417967
Adagrad,0.05,140.0,0.0001,96.0,290.0,146.61572265625
Adagrad,0.05,140.0,0.001,96.0,290.0,143.18618774414062
Adagrad,0.05,140.0,0.01,96.0,290.0,114.9738998413086
Adagrad,0.05,130.0,0.0001,96.0,290.0,147.3583526611328
Adagrad,0.05,130.0,0.001,96.0,290.0,146.1488037109375
Adagrad,0.05,130.0,0.01,96.0,290.0,111.68592834472656
Adagrad,0.05,120.0,0.0001,96.0,290.0,146.031494140625
Adagrad,0.05,120.0,0.001,96.0,290.0,145.7085723876953
Adagrad,0.05,120.0,0.01,96.0,290.0,114.2934341430664
Adagrad,0.05,110.0,0.0001,96.0,290.0,147.4498291015625
Adagrad,0.05,110.0,0.001,96.0,290.0,145.1887969970703
Adagrad,0.05,110.0,0.01,96.0,290.0,115.16707611083984
Adagrad,0.05,100.0,0.0001,96.0,290.0,297.0638732910156
Adagrad,0.05,100.0,0.001,96.0,290.0,140.4849853515625
Adagrad,0.05,100.0,0.01,96.0,290.0,113.7629623413086
Adagrad,0.05,90.0,0.0001,96.0,290.0,144.2535400390625
Adagrad,0.05,90.0,0.001,96.0,290.0,148.353515625
Adagrad,0.05,90.0,0.01,96.0,290.0,111.80284881591795
Adagrad,0.05,80.0,0.0001,96.0,290.0,352.13232421875
Adagrad,0.05,80.0,0.001,96.0,290.0,147.0861358642578
Adagrad,0.05,80.0,0.01,96.0,290.0,113.39142608642578
Adagrad,0.05,70.0,0.0001,96.0,290.0,259.3484802246094
Adagrad,0.05,70.0,0.001,96.0,290.0,144.85108947753906
Adagrad,0.05,70.0,0.01,96.0,290.0,109.92530059814452
Adagrad,0.05,60.0,0.0001,96.0,290.0,143.92652893066406
Adagrad,0.05,60.0,0.001,96.0,290.0,139.65147399902344
Adagrad,0.05,60.0,0.01,96.0,290.0,113.12091064453124
Adagrad,0.05,50.0,0.0001,96.0,290.0,152.87632751464844
Adagrad,0.05,50.0,0.001,96.0,290.0,146.11842346191406
Adagrad,0.05,50.0,0.01,96.0,290.0,120.7226104736328
Adagrad,0.05,40.0,0.0001,96.0,290.0,154.31475830078125
Adagrad,0.05,40.0,0.001,96.0,290.0,142.3004913330078
Adagrad,0.05,40.0,0.01,96.0,290.0,109.36604309082033
Adagrad,0.05,30.0,0.0001,96.0,290.0,241.4276885986328
Adagrad,0.05,30.0,0.001,96.0,290.0,148.88221740722656
Adagrad,0.05,30.0,0.01,96.0,290.0,118.980712890625
Adagrad,0.05,20.0,0.0001,96.0,290.0,418.7079772949219
Adagrad,0.05,20.0,0.001,96.0,290.0,146.1409454345703
Adagrad,0.05,20.0,0.01,96.0,290.0,113.98889923095705
Adagrad,0.05,10.0,0.0001,96.0,290.0,148.57113647460938
Adagrad,0.05,10.0,0.001,96.0,290.0,142.08071899414062
Adagrad,0.05,10.0,0.01,96.0,290.0,133.294921875
Adagrad,0.05,190.0,0.0001,64.0,290.0,153.70782470703125
Adagrad,0.05,190.0,0.001,64.0,290.0,138.46714782714844
Adagrad,0.05,190.0,0.01,64.0,290.0,103.6431655883789
Adagrad,0.05,180.0,0.0001,64.0,290.0,144.09976196289062
Adagrad,0.05,180.0,0.001,64.0,290.0,138.79493713378906
Adagrad,0.05,180.0,0.01,64.0,290.0,102.90013122558594
Adagrad,0.05,170.0,0.0001,64.0,290.0,150.75650024414062
Adagrad,0.05,170.0,0.001,64.0,290.0,145.27105712890625
Adagrad,0.05,170.0,0.01,64.0,290.0,103.46851348876952
Adagrad,0.05,160.0,0.0001,64.0,290.0,152.37078857421875
Adagrad,0.05,160.0,0.001,64.0,290.0,143.904296875
Adagrad,0.05,160.0,0.01,64.0,290.0,105.2760772705078
Adagrad,0.05,150.0,0.0001,64.0,290.0,179.60623168945312
Adagrad,0.05,150.0,0.001,64.0,290.0,138.02789306640625
Adagrad,0.05,150.0,0.01,64.0,290.0,107.46920776367188
Adagrad,0.05,140.0,0.0001,64.0,290.0,145.88204956054688
Adagrad,0.05,140.0,0.001,64.0,290.0,141.80465698242188
Adagrad,0.05,140.0,0.01,64.0,290.0,108.26471710205078
Adagrad,0.05,130.0,0.0001,64.0,290.0,143.93431091308594
Adagrad,0.05,130.0,0.001,64.0,290.0,139.20372009277344
Adagrad,0.05,130.0,0.01,64.0,290.0,107.44397735595705
Adagrad,0.05,120.0,0.0001,64.0,290.0,148.8721923828125
Adagrad,0.05,120.0,0.001,64.0,290.0,139.69061279296875
Adagrad,0.05,120.0,0.01,64.0,290.0,101.91194915771484
Adagrad,0.05,110.0,0.001,64.0,290.0,142.56826782226562
Adagrad,0.05,110.0,0.0001,64.0,290.0,146.29849243164062
Adagrad,0.05,110.0,0.01,64.0,290.0,99.788818359375
Adagrad,0.05,100.0,0.0001,64.0,290.0,150.403076171875
Adagrad,0.05,100.0,0.001,64.0,290.0,141.61302185058594
Adagrad,0.05,100.0,0.01,64.0,290.0,102.96144104003906
Adagrad,0.05,90.0,0.0001,64.0,290.0,154.01220703125
Adagrad,0.05,90.0,0.001,64.0,290.0,140.00900268554688
Adagrad,0.05,90.0,0.01,64.0,290.0,102.96075439453124
Adagrad,0.05,80.0,0.0001,64.0,290.0,283.7203063964844
